ID,Station Name,Access,Owner,Last_Used,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode
47560,Harrisonburg Nissan,private,Non-Networked,2024-02-12,,,1.0,2275 E Market St,Harrisonburg,VA,22801
47561,Hart Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,6564 Mechanicsville Pike,Mechanicsville,VA,23111
47562,Hart Nissan,private,Non-Networked,2024-02-12,,,1.0,6564 Mechanicsville Pike,Mechanicsville,VA,23111
47563,Priority Nissan - Newport News,public,Non-Networked,2024-02-12,,,1.0,12925 Jefferson Ave,Newport News,VA,23608
47564,Priority Nissan - Newport News,private,Non-Networked,2024-02-12,1.0,,1.0,12925 Jefferson Ave,Newport News,VA,23608
47565,Nissan of Norfolk,public,Non-Networked,2024-02-12,2.0,,1.0,1250 N Military Hwy,Norfolk,VA,23502
47566,Nissan of Norfolk,private,Non-Networked,2024-02-12,,,1.0,1250 N Military Hwy,Norfolk,VA,23502
47567,Nissan of Richmond,public,Non-Networked,2024-02-12,1.0,,1.0,11401 W Broad St,Richmond,VA,23233
47568,Nissan of Richmond,private,Non-Networked,2024-02-12,,,1.0,11401 W Broad St,Richmond,VA,23233
47569,Gunter Nissan,public,Non-Networked,2024-02-12,,,1.0,4760 Greensboro Rd,Ridgeway,VA,24148
47570,Gunter Nissan,private,Non-Networked,2024-02-12,,,1.0,4760 Greensboro Rd,Ridgeway,VA,24148
47573,Pohanka Nissan - Stafford,public,Non-Networked,2024-02-12,2.0,,2.0,1 Coachman Cir,Stafford,VA,22554
47574,Pohanka Nissan - Stafford,private,Non-Networked,2024-02-12,,,1.0,1 Coachman Cir,Stafford,VA,22554
47575,Valley Nissan of Staunton,public,Non-Networked,2024-02-12,,,1.0,297 Lee Jackson Hwy,Staunton,VA,24401
47576,Valley Nissan of Staunton,private,Non-Networked,2024-02-12,,,1.0,297 Lee Jackson Hwy,Staunton,VA,24401
47577,Hall Nissan - Virginia Beach,public,Non-Networked,2024-02-12,1.0,,2.0,3757 Booney Rd,Virginia Beach,VA,23452
47578,Hall Nissan - Virginia Beach,private,Non-Networked,2024-02-12,,,1.0,3757 Booney Rd,Virginia Beach,VA,23452
47579,Cowles Nissan,public,Non-Networked,2024-02-12,1.0,,3.0,14777 Jefferson Davis Hwy,Woodbridge,VA,22191
47684,Antwerpen Nissan,public,Non-Networked,2024-02-12,,,1.0,1701 Woodlawn Dr,Baltimore,MD,21207
47685,Antwerpen Nissan,private,Non-Networked,2024-02-12,,,1.0,1701 Woodlawn Dr,Baltimore,MD,21207
47686,Bob Bell Nissan,public,Non-Networked,2024-02-12,,,1.0,7900 Eastern Ave,Baltimore,MD,21224
47687,Bob Bell Nissan,private,Non-Networked,2024-02-12,,,1.0,7900 Eastern Ave,Baltimore,MD,21224
47688,Nissan of Bowie,public,Non-Networked,2024-02-12,1.0,,1.0,2200 Crain Hwy,Bowie,MD,20716
47689,Nissan of Bowie,private,Non-Networked,2024-02-12,,,1.0,2200 Crain Hwy,Bowie,MD,20716
47690,Antwerpen Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,12451 Auto Dr,Clarksville,MD,21029
47691,Antwerpen Nissan,private,Non-Networked,2024-02-12,,,1.0,12451 Auto Dr,Clarksville,MD,21029
47692,Darcars Nissan - College Park,public,Non-Networked,2024-02-12,,,1.0,9330 Baltimore Ave,College Park,MD,20740
47693,Darcars Nissan - College Park,private,Non-Networked,2024-02-12,,,1.0,9330 Baltimore Ave,College Park,MD,20740
47694,Nissan Ellicott City,public,Non-Networked,2024-02-12,1.0,,1.0,8569 Baltimore National Pike,Ellicott City,MD,21043
47695,Nissan Ellicott City,private,Non-Networked,2024-02-12,,,1.0,8569 Baltimore National Pike,Ellicott City,MD,21043
47696,Sheehy Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,7232 Ritchie Hwy,Glen Burnie,MD,21061
47697,Sheehy Nissan,private,Non-Networked,2024-02-12,,,1.0,7232 Ritchie Hwy,Glen Burnie,MD,21061
47698,Hamilton Nissan,public,Non-Networked,2024-02-12,2.0,,2.0,1929 Dual Hwy,Hagerstown,MD,21740
47699,Hamilton Nissan,private,Non-Networked,2024-02-12,,,1.0,1929 Dual Hwy,Hagerstown,MD,21740
47700,Ourisman Nissan,public,Non-Networked,2024-02-12,,,1.0,3510 Ft Meade Rd,Laurel,MD,20724
47701,Ourisman Nissan,private,Non-Networked,2024-02-12,,,1.0,3510 Ft Meade Rd,Laurel,MD,20724
47702,Antwerpen Nissan,public,Non-Networked,2024-02-12,,,1.0,11405 Reisterstown Rd,Owings Mills,MD,21117
47703,Antwerpen Nissan,private,Non-Networked,2024-02-12,,,1.0,11405 Reisterstown Rd,Owings Mills,MD,21117
47708,Pohanka Nissan - Salisbury,private,Non-Networked,2024-02-12,,,2.0,2012 N Salisbury Blvd,Salisbury,MD,21801
47709,Nationwide Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,2085 York Rd,Timonium,MD,21093
47710,Nationwide Nissan,private,Non-Networked,2024-02-12,,,1.0,2085 York Rd,Timonium,MD,21093
47711,Sheehy Nissan - Waldorf,public,Non-Networked,2024-02-12,1.0,,2.0,2950 Crain Hwy,Waldorf,MD,20601
47868,Cowles Nissan,private,Non-Networked,2024-02-12,,,2.0,14777 Jefferson Davis Hwy,Woodbridge,VA,22191
47869,Blue Ridge Nissan,public,Non-Networked,2024-02-12,,,1.0,1405 E Main St,Wytheville,VA,24382
47870,Blue Ridge Nissan,private,Non-Networked,2024-02-12,,,1.0,1405 E Main St,Wytheville,VA,24382
48038,MTA LTR MT WASHNGTN,public,ChargePoint Network,2024-10-10,,,2.0,5701 Smith Ave,Baltimore,MD,21209
48074,Florida Power & Light - Washington DC Office,private,Non-Networked,2024-01-09,,,1.0,801 Pennsylvania Ave NW,Washington,DC,20004
48258,Passport Nissan - Alexandria,private,Non-Networked,2024-02-12,,,1.0,150 S Pickett St,Alexandria,VA,22304
48259,Priority Nissan - Chantilly,private,Non-Networked,2024-02-12,,,1.0,14840 Stonecroft Center Ct,Chantilly,VA,20151
48260,Colonial Nissan,private,Non-Networked,2024-02-12,,,1.0,200 Myers Dr,Charlottesville,VA,22901
48261,New River Nissan,private,Non-Networked,2024-02-12,,,1.0,2130 N Franklin St,Christiansburg,VA,24073
48264,Pomoco Nissan - Hampton,private,Non-Networked,2024-02-12,,,1.0,1134 W Mercury Blvd,Hampton,VA,23666
48265,Sheehy Nissan - Manassas,private,Non-Networked,2024-02-12,,,1.0,9010 Liberia Ave,Manassas,VA,20110
48266,Hyman Brothers Nissan,private,Non-Networked,2024-02-12,,,1.0,11841 Midlothian Turnpike,Midlothian,VA,23113
48267,First Team Nissan,private,Non-Networked,2024-02-12,,,1.0,6520 Peters Creek Rd,Roanoke,VA,24019
48268,Brown's Dulles Nissan,private,Non-Networked,2024-02-12,,,1.0,45155 Towlern Pl,Sterling,VA,20166
48270,Tri-State Nissan,private,Non-Networked,2024-02-12,,,1.0,1230 Millwood Pike,Winchester,VA,22602
48395,Bel Air Nissan,private,Non-Networked,2024-02-12,,,1.0,1506 Bel Air Rd,Bel Air,MD,21014
48397,Younger Nissan,private,Non-Networked,2024-02-12,,,1.0,7418 Grove Rd,Frederick,MD,21704
48398,Criswell Nissan,private,Non-Networked,2024-02-12,,,1.0,19574 Amaranth Dr,Germantown,MD,20874
48400,Darcars Nissan,private,Non-Networked,2024-02-12,,,1.0,15911 Indianola Dr,Rockville,MD,20855
48401,Herb Gordon Nissan,private,Non-Networked,2024-02-12,,,1.0,3131 Automobile Blvd,Silver Spring,MD,20904
48402,Passport Nissan - Marlow Heights,private,Non-Networked,2024-02-12,,,1.0,5000 Auth Way,Suitland,MD,20746
48668,Goddard Space Flight Center,private,Non-Networked,2022-07-12,,,1.0,8800 Greenbelt Rd,Greenbelt,MD,20771
49397,Capital One - C2,public,Non-Networked,2023-01-10,,,8.0,1680 Capital One Dr,McLean,VA,22102
49398,Capital One -WC 2 Parking Deck,private,Non-Networked,2023-01-10,,,18.0,15075 Capital One Dr,Richmond,VA,23238
49402,Capital One - Central Parking Deck,private,Non-Networked,2023-01-10,,,1.0,15020 Capital One Dr,Richmond,VA,23238
49603,CARCHARGING MICROTEL INN,public,ChargePoint Network,2024-10-10,,,1.0,85 Pleasant Valley Rd,Harrisonburg,VA,22801
49751,GEORGE MASON U SHENANDOAH 2,public,ChargePoint Network,2024-10-10,,,2.0,4400 University Dr,Fairfax,VA,22030
50379,Old Farm Court,public,Non-Networked,2021-09-10,,1.0,,115 Old Farm Ct,Glen Burnie,MD,21060
51086,Baltimore Washington Medical Center,public,Non-Networked,2021-12-09,,7.0,,300 Hospital Dr,Glen Burnie,MD,21061
51735,Maritime Plaza,private,Non-Networked,2023-08-10,,,2.0,1201 M St SE,Washington,DC,20003
51900,Wynne Ford,public,Non-Networked,2023-12-13,,,2.0,1020 W Mercury Blvd,Hampton,VA,23666
51902,Magic City Ford Lincoln Isuzu,public,Non-Networked,2023-11-09,,,2.0,809 Williamson Rd NE,Roanoke,VA,24016
51983,FASTPARK BWI 1,public,ChargePoint Network,2024-10-10,,,2.0,1718 W Nursery Rd,Linthicum Heights,MD,21090
51989,Waldorf Ford,public,Non-Networked,2023-09-14,,,3.0,2440 Crain Hwy,Waldorf,MD,20601
52262,Ashland Town Hall,public,Non-Networked,2024-09-12,,,1.0,210 S Railroad Ave,Ashland,VA,23005
52470,Smithsonian Transportation Repair Shop - Garber Facility,private,Non-Networked,2024-01-10,,,2.0,3904 Old Silver Hill Rd,Suitland,MD,20746
52553,University of Virginia - Central Grounds Garage,public,Non-Networked,2022-02-10,1.0,,1.0,400 Emmet St S,Charlottesville,VA,22903
52855,BEULAH II BEULAH GATEWAY2,public,ChargePoint Network,2024-10-10,,,2.0,6412 Beulah St,Alexandria,VA,22310
53057,Berglund Ford Mazda,public,Non-Networked,2023-10-12,,,1.0,834 E Main St,Salem,VA,24153
53226,Academy Ford,private,Non-Networked,2023-09-14,,,2.0,13401 Baltimore Ave,Laurel,MD,20707
53421,Century Ford,public,Non-Networked,2023-10-12,,,1.0,302 Century Dr,Mt. Airy,MD,21771
53423,Safford Ford Lincoln of Salisbury,public,Non-Networked,2023-09-14,,,2.0,1902 N Salisbury Blvd,Salisbury,MD,21801
53699,Martin Horn,public,Non-Networked,2023-12-13,,,1.0,210 Carlton Rd,Charlottesville,VA,22902
53864,Apple Ford Lincoln,private,Non-Networked,2022-11-10,,,4.0,8800 Stanford Blvd,Columbia,MD,21045
53866,Hagerstown Ford,public,Non-Networked,2023-09-14,,,1.0,1714 Massey Blvd,Hagerstown,MD,21740
53952,Marion Automotive Group,public,Non-Networked,2023-10-12,,,1.0,1025 N Main St,Marion,VA,24354
53954,Sheehy Ford Lincoln,public,Non-Networked,2023-10-12,,,1.0,10601 Midlothian Turnpike,Midlothian,VA,23235
53955,Casey Chevrolet,public,Non-Networked,2023-11-09,,,2.0,11700 Jefferson Ave,Newport News,VA,23606
53956,Hall Ford Lincoln,public,Non-Networked,2023-01-10,,,2.0,12896 Jefferson Ave,Newport News,VA,23608
53958,Rick Hendrick Chevrolet Buick GMC,public,Non-Networked,2023-01-10,,,1.0,12050 W Broad St,Richmond,VA,23233
53959,Omni - Richmond Hotel,public,Non-Networked,2023-12-13,,,1.0,100 S 12th St,Richmond,VA,23219
53963,Whole Foods Market,public,Non-Networked,2023-11-09,,,2.0,1800 Laskin Rd,Virginia Beach,VA,23454
53965,Cowles Parkway Ford,private,Non-Networked,2023-01-10,,,1.0,13779 Noblewood Plaza,Woodbridge,VA,22193
53998,Sheehy Ford,public,Non-Networked,2023-10-12,,,2.0,11450 Washington Hwy,Ashland,VA,23005
54000,Virginia Tech - Corporate Research Center,private,Non-Networked,2022-12-13,,,1.0,1861 Pratt Dr,Blacksburg,VA,24060
54001,Duncan Ford Lincoln,public,Non-Networked,2023-12-13,,,2.0,125 Jennelle Rd,Blacksburg,VA,24060
54002,Inn at Virginia Tech,public,Non-Networked,2023-11-09,,,2.0,901 Prices Fork Rd,Blacksburg,VA,24060
54005,Village Center,public,Non-Networked,2022-11-10,,,1.0,2387 Warm Hearth Dr,Blacksburg,VA,24060
54006,Ted Britt Ford,private,Non-Networked,2023-01-10,,,1.0,4175 Auto Park Cir,Chantilly,VA,20151
54008,CMA's Colonial Chevrolet,public,Non-Networked,2023-06-12,1.0,,3.0,12420 Jefferson Davis Hwy,Chester,VA,23831
54012,Hampton Chevrolet,public,Non-Networked,2023-12-13,,,2.0,1073 W Mercury Blvd,Hampton,VA,23666
57221,WASH HARBOUR STATION 1,public,ChargePoint Network,2024-10-10,,,2.0,3000 K St NW,Washington,DC,20007
60877,Williamsburg KOA,public,Non-Networked,2023-10-12,,5.0,,4000 Newman Rd,Williamsburg,VA,23188
60891,Wytheville KOA,public,Non-Networked,2024-06-13,,2.0,,231 KOA Rd,Wytheville,VA,24382
60901,Pohanka Nissan - Salisbury,public,Non-Networked,2024-02-12,2.0,,1.0,2012 N Salisbury Blvd,Salisbury,MD,21801
61589,C. RICHMOND BMW STATION 01,public,ChargePoint Network,2024-10-10,,,2.0,8704-8716 US-250,Henrico,VA,23294
61601,COLUMBIA ASSOC COLUMBIA GYM,public,ChargePoint Network,2024-10-10,,,1.0,6151 Day Long Ln,Clarksville,MD,21029
61602,BMW MIDLOTHIAN STATION 01,public,ChargePoint Network,2024-10-10,,,2.0,12100 Midlothian Turnpike,Midlothian,VA,23113
61603,TOWSON BMW STATION 01,public,ChargePoint Network,2024-10-10,,,2.0,700 Kenilworth Dr,Towson,MD,21204
61608,BMW CATONSVILLE STATION 01,public,ChargePoint Network,2024-10-10,,,2.0,6700 Baltimore National Pike,Baltimore,MD,21228
62102,CENTRAL GARAGE CENTRAL GARAGE,public,ChargePoint Network,2024-10-10,,,2.0,7315 Wisconsin Ave Enter by Hilton Garden Inn,Bethesda,MD,20814
62503,TYSON TOWER TYSONS TOWER 4,public,ChargePoint Network,2024-10-10,,,1.0,7900 Tysons One Pl,Tysons Corner,VA,22102
63262,OAK CREST TOWN CENTER,public,ChargePoint Network,2024-10-10,,,2.0,3700 E Northern Pkwy,Baltimore,MD,21206
63346,City of Richmond - Main Street Center,private,Non-Networked,2023-02-13,1.0,,2.0,1500 E Main St,Richmond,VA,23219
63350,Scope Arena Parking,public,Non-Networked,2021-10-12,1.0,,,201 E Brambleton Ave,Norfolk,VA,23510
63374,Holiday Trav-L-Park,public,Non-Networked,2023-01-10,,2.0,,1075 General Booth Blvd,Virginia Beach,VA,23451
63824,UM PTS PLAZA #2,public,ChargePoint Network,2024-10-10,,,2.0,500-598 W Redwood St,Baltimore,MD,21201
63847,BMW ALEXANDRIA STATION 01,public,ChargePoint Network,2024-10-10,,,2.0,499 S Pickett St,Alexandria,VA,22304
64393,Oakhurst Inn,public,Non-Networked,2022-02-10,,,1.0,100 Oakhurst Cir,Charlottesville,VA,22903
64394,City of Roanoke,public,Non-Networked,2023-01-10,1.0,,,102 Market St SE,Roanoke,VA,24011
64548,TOWER COMPANIES 1828 L ST NW #1,public,ChargePoint Network,2024-10-10,,,2.0,1828 L St NW,Washington,DC,20036
64549,TOWER COMPANIES 1707 L STREET 1,public,ChargePoint Network,2024-10-10,,,2.0,1707 L St NW,Washington,DC,20036
64948,LIBBIE MILL A2,public,ChargePoint Network,2024-10-10,,,2.0,4901 Libbie Mill E Blvd.,Richmond,VA,23230
65645,KING VW VW_409151_A,public,ChargePoint Network,2024-10-10,,,2.0,979 N Frederick Ave,Gaithersburg,MD,20879
65654,MCDOT-PARKING GARAGE 31- 3,public,ChargePoint Network,2024-10-10,,,2.0,7171 Woodmont Ave,Bethesda,MD,20815
65672,Chevy Chase Pavilion,public,Non-Networked,2023-08-10,,,2.0,5355 Wisconsin Ave NW,Washington,DC,20015
65678,Monday Properties,private,Non-Networked,2023-10-12,,8.0,4.0,1000 Wilson Blvd,Arlington,VA,22209
65688,Smithsonian Museum Support Center,private,Non-Networked,2024-01-10,,,2.0,4210 Silver Hill Rd,Camp Springs,MD,20746
65701,New Kent Pit Stop,public,Non-Networked,2024-02-12,1.0,,,6201 Chesapeake Cir,New Kent,VA,23124
65761,MCDOT-PARKING GARAGE 31- 2,public,ChargePoint Network,2024-10-10,,,2.0,7171 Woodmont,Bethesda,MD,20815
66424,Pearmund Cellars,public,Non-Networked,2022-11-10,,,1.0,6190 Georgetown Rd,Broad Run,VA,20137
66561,Virginia Clean Cities - James Madison University,public,Non-Networked,2022-11-10,,,4.0,1401 Technology Dr,Harrisonburg,VA,22802
66639,Maryland Institute College of Art - Commons Hall,public,Non-Networked,2022-11-10,,,2.0,130 McMechen St,Baltimore,MD,21217
66640,Maryland Institute College of Art - Lazarus Center,public,Non-Networked,2022-11-10,,,4.0,131 W North Ave,Baltimore,MD,21201
66641,University of Baltimore - Maryland Avenue Garage,public,Non-Networked,2022-11-10,,,3.0,1104 Maryland Ave,Baltimore,MD,21201
66642,Mayflower Properties,public,Non-Networked,2022-11-10,,,1.0,1110 Morton St,Baltimore,MD,21201
66647,JBG SMITH COMMERCE PARK B,public,ChargePoint Network,2024-10-10,,,2.0,11440 Commerce Park Dr,Reston,VA,20191
66898,NEXCOM - Norfolk,private,Non-Networked,2024-01-10,,,2.0,3280 Virginia Beach Blvd,Virginia Beach,VA,23452
67144,CareFirst BlueCross BlueShield,private,Non-Networked,2023-01-10,,,6.0,10455 Mill Run Cir,Owings Mills,MD,21117
67146,Parkview Business Center,public,Non-Networked,2023-10-12,,,1.0,201 Prospect Ave,Hagerstown,MD,21742
67148,Advanced Technology and Research,private,Non-Networked,2023-09-14,,,1.0,12301 Kiln Ct,Beltsville,MD,20705
67359,Prince George - Parking Garage,public,Non-Networked,2023-01-10,,,2.0,230 N Henry St,Williamsburg,VA,23185
67759,Mount Airy Municipal Parking Lot,public,Non-Networked,2021-10-12,4.0,,4.0,255-299 Cross St,Mt. Airy,MD,21771
67907,JBG SMITH COMMERCE PARK A,public,ChargePoint Network,2024-10-10,,,2.0,11400 Commerce Park Dr,Reston,VA,20191
68205,1212 NEW YORK STATION 1,public,ChargePoint Network,2024-10-10,,,2.0,1212 New York Ave NW,Washington,DC,20005
68244,MTA LTR CROMWELL,public,ChargePoint Network,2024-10-10,,,2.0,7378 Baltimore Annapolis Blvd,Glen Burnie,MD,21061
68278,First United Evangelical and Reformed Church,public,Non-Networked,2022-11-10,,,1.0,6115 O'Donnell St,Baltimore,MD,21224
68576,City of Bowie - City Hall,private,Non-Networked,2024-09-12,,,4.0,15901 Excalibur Rd,Bowie,MD,20716
68577,Marriott Garage,public,Non-Networked,2022-11-10,,,3.0,101 S Paca St,Baltimore,MD,21201
68812,MTA BUS DUNKIRK,public,ChargePoint Network,2024-10-10,,,2.0,10839 Town Center Blvd,Dunkirk,MD,20754
68814,MTA MARC HALETHORPE,public,ChargePoint Network,2024-10-10,,,2.0,5833 SOUTHWESTERN BLVD,HALETHORPE,MD,21227
68816,CONOWINGO DAM CONOWINGO FISHE,public,ChargePoint Network,2024-10-10,,,2.0,2559 Shureslanding Rd,Darlington,MD,21034
68842,MTA LTR N LINTHICUM,public,ChargePoint Network,2024-10-10,,,2.0,450 N Camp Meade Rd,Linthicum Heights,MD,21090
68849,Historic Hampton Inn,public,EVGATEWAY,2024-02-12,,,2.0,401 E Nelson St,Lexington,VA,24450
68996,EVSP WALGREENS STORE 5587,public,ChargePoint Network,2024-10-10,,,1.0,9621 Belair Rd,Nottingham,MD,21236
69011,EVSP WALGREENS STORE 5409,public,ChargePoint Network,2024-10-10,,,1.0,4020 Eastern Ave,Baltimore,MD,21224
69121,EVSP WALGREENS STORE 6320,public,ChargePoint Network,2024-10-10,,,1.0,2260-2298 N Rolling Rd,Woodlawn,MD,21244
69736,Redwood Garage,public,Non-Networked,2022-11-10,,,4.0,11 S Eutaw St,Baltimore,MD,21201
69737,Annex Garage,public,Non-Networked,2022-11-10,,,2.0,140 W Patrick St,Frederick,MD,21701
69942,Fleet & Eden Garage,public,Non-Networked,2023-10-12,,,4.0,501 S Eden St,Baltimore,MD,21231
70034,MCDOT-PARKING GARAGE 11,public,ChargePoint Network,2024-10-10,,,2.0,7730 Woodmont Ave,Bethesda,MD,20814
70442,Signet Garage,public,Non-Networked,2022-11-10,,,8.0,210 Guilford Ave,Baltimore,MD,21202
70522,MCDOT-PARKING GARAGE 9,public,ChargePoint Network,2024-10-10,,,2.0,8040 Kennett St,Silver Spring,MD,20910
70523,MCDOT-PARKING GARAGE 47,public,ChargePoint Network,2024-10-10,,,2.0,4501-4623 Montgomery Ave,Bethesda,MD,20814
70535,Cathedral Garage,public,Non-Networked,2022-11-10,,,4.0,320 Cathedral St,Baltimore,MD,21201
