ID,Fuel Type Code,Station Name,Street Address,State,City,Open Date,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code
68,ELEC,531707 Lenkin Co 1625,1625 Massachusetts Avenue Northwest,DC,Washington,9/10/2018,20036,J1772,$1.00/Hr Parking Fee,38.9081864,-77.0380059,public
69,ELEC,1250 Connecticut,"1250 Connecticut Avenue, NW",DC,Washington,2/16/2015,20036,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9068836,-77.0423311,public
70,ELEC,531713  The Jefferson Building,1225 19th Street Northwest,DC,Washington,2/6/2019,20036,J1772,$0.15/kWh Energy Fee,38.9066664,-77.0430436,public
71,ELEC,Hines - 1200 Nineteenth Street NW,1200 19th Street NW Suite 260,DC,Washington,12/21/2016,20036,J1772,$1.00/Hr Parking Fee,38.9060995,-77.0438477,public
72,ELEC,Holiday Inn Washington DC-Central/White House,1501 Rhode Island Avenue NW,DC,Washington,8/29/2012,20005,J1772,$2.00/Hr Parking Fee,38.9079994,-77.0347353,public
73,ELEC,1200 17th Street NW,"1200 17th Street, NW",DC,Washington,11/5/2014,20036,J1772,FREE,38.9057498,-77.0387055,public
74,ELEC,1920 L Street,1920 L Street NW,DC,Washington,11/1/2013,20036,J1772,$1.50/Hr Parking Fee,38.903492,-77.044477,public
75,ELEC,1900 L Street,1900 L Street NW,DC,Washington,11/1/2013,20036,J1772,$1.50/Hr Parking Fee,38.903492,-77.043903,public
76,ELEC,1020 19th Street,1020 19th Street NW,DC,Washington,10/28/2016,20036,J1772,$1.50/Hr Parking Fee,38.903147,-77.043825,public
77,ELEC,Eleven Hundred Connecticut Avenue,1100 Connecticut Avenue Northwest,DC,Washington,6/3/2019,20036,J1772,$1.00/Hr Parking Fee,38.9039725,-77.0405507,public
78,ELEC,"531706  1667 K Street, NW",1667 K Street Northwest,DC,Washington,7/17/2018,20006,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9030183,-77.0381339,public
79,ELEC,"531705  1331 F Street, NW",1331 F Street Northwest,DC,Washington,4/4/2016,20004,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.897643,-77.0309368,public
80,ELEC,"10 G Street, NE","10 G St, NE",DC,Washington,3/5/2015,20002,J1772,$0.00-$5.00/Hr Variable Parking Fee,38.8998373,-77.0071072,public
81,ELEC,"APA 750 First St, NE","750 First St, NE",DC,Washington,3/20/2015,20002,J1772,$0.00-$5.00/Hr Variable Parking Fee,38.8998373,-77.0071072,public
82,ELEC,Lexington/Market Sq Parking Garage,401 9th St NW & D St NW,DC,Washington,12/20/2011,20004,J1772,$1.00-$5.00/Hr Variable Parking Fee,38.89475995,-77.02395767,public
83,ELEC,122 C Street,122 C Street NW,DC,Washington,1/2/2012,20001,J1772,$1.50/Hr Parking Fee,38.893317,-77.013021,public
84,ELEC,Central Parking - 101 Constitution,101 Constitution Avenue Northwest,DC,Washington,11/29/2011,20001,J1772,FREE,38.8926815,-77.0131214,public
85,ELEC,375 - Patriots Plaza,375 E Street Southwest,DC,Washington,1/19/2017,20024,J1772,FREE,38.8840361,-77.0169844,public
86,ELEC,355 - Patriots Plaza,355 E Street Southwest,DC,Washington,9/21/2017,20024,J1772,FREE,38.8837304,-77.0165323,public
87,ELEC,Hyatt Washington DC North Mall,400 E Street Southwest,DC,Washington,9/9/2015,20024,J1772,FREE,38.8829816,-77.0180331,public
91,ELEC,SQUARE 54,2200 Pennsylvania Ave NW,DC,Washington,10/30/2019,20037,J1772,"$1.00-$5.00/Hr Variable Parking Fee, $0.22/kWh Energy Fee",38.9017929,-77.0493245,public
93,ELEC,"Lenkin 1133A, Lenkin 1133B",1133 Connecticut Avenue Northwest,DC,Washington,11/13/2019,20036,J1772,$1.00/Hr Parking Fee,38.9049056,-77.0401315,public
94,ELEC,"Lenkin 1050A, Lenkin 1050B",1050 K Street Northwest,DC,Washington,11/13/2019,20001,J1772,$1.00/Hr Parking Fee,38.9021405,-77.0267154,public
95,ELEC,Rosewood Washington D.C. - Tesla Destination,1050 31st Street NW,DC,Washington,4/6/2017,20007,TESLA,Free,38.903912,-77.061216,public
96,ELEC,"Capella Washington, D.C. - Tesla Destination",1050 31st St NW,DC,Washington,1/19/2016,20007,J1772 TESLA,Free,38.904031,-77.061463,public
97,ELEC,1501 New York Ave NE - Tesla Destination,1501 New York Ave NE,DC,Washington,8/8/2019,20002,J1772 TESLA,Free,38.915614,-76.983038,public
98,ELEC,Columbia Center - Tesla Destination,1152 15th St NW,DC,Washington,4/9/2019,20005,TESLA,Free,38.90493,-77.035048,public
99,ELEC,1875 K Street - Tesla Destination,1875 K St NW,DC,Washington,4/1/2019,20036,TESLA,Free,38.902991,-77.043045,public
100,ELEC,1700 New York Avenue - Tesla Destination,1700 New York Ave,DC,Washington,4/4/2019,20006,J1772 TESLA,Free,38.896069,-77.040275,public
103,ELEC,531714 - 799 9th Street,"799 9th Street NW, Suite 102",DC,Washington,2/6/2019,20001,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.899515,-77.023468,public
104,ELEC,Lincoln Square - 555 11th Street NW,555 11th Street Northwest,DC,Washington,11/11/2019,20004,J1772,FREE,38.8967861,-77.0264518,public
108,ELEC,Parcel O at the Yards,1346 4th St SE,DC,Washington,3/30/2020,20003,J1772,Free,38.873894,-77.000066,public
114,ELEC,Whole Foods - DC,965 Florida Ave NW,DC,Washington,7/11/2020,20001,J1772,Free,38.919526,-77.024665,public
115,ELEC,JBG - The Foundry,1055 Thomas Jefferson St NW,DC,Washington,8/1/2020,20007,J1772,Free,38.903686,-77.059528,public
116,ELEC,20 M St. Parking,20 M St. SE,DC,Washington,8/1/2020,20003,J1772,Free,38.876829,-77.007855,public
117,ELEC,500 LEnfant Plaza,500 L'Enfant Plaza SW,DC,Washington,8/1/2020,20024,J1772,Free,38.883395,-77.0234,public
118,ELEC,JBG 2101 L Street - B1,2101 L Street,DC,Washington,9/22/2020,20037,J1772,Free,38.90394,-77.04772,public
120,ELEC,City Center Hines,870 9th Street Northwest,DC,Washington,10/6/2017,20001,J1772,$0.00-$5.00/Hr Variable Parking Fee,38.9005843,-77.0244732,public
123,ELEC,"The Residences at the Ritz-Carlton, Washington D.C. - Tesla Destination",1111 23rd St,DC,Washington,7/1/2015,20037,TESLA,Free,38.904875,-77.050069,public
124,ELEC,"The Ritz-Carlton, Georgetown - Tesla Destination",3100 South Street NW,DC,Washington,6/19/2017,20007,TESLA,Free,38.903413,-77.061943,public
170,ELEC,FMS2,2796 Mitcher Rd SW,DC,Anacostia Naval Station,1/15/2021,20373,J1772,Free,38.858158,-77.011997,private
172,ELEC,FAA - Headquarters Office Building (HDQ 10A),800 Independence Ave SW,DC,Washington,1/15/2021,20591,J1772,Free,38.88691383,-77.02269937,private
173,ELEC,GSA FLEET / WESTCTYARD,501-555 19th St NW,DC,Washington,1/15/2021,20036,J1772,Free,38.896008,-77.043471,private
174,ELEC,OPM Motor Pool,1900 E St NW,DC,Washington,1/15/2021,20415,J1772,Free,38.8948,-77.0369,private
175,ELEC,US MINT,801 9th St NW,DC,Washington,1/15/2021,20001,J1772,$0.12 per kWh,38.900627,-77.023611,private
176,ELEC,BEP #2,201-301 14th St SW,DC,Washington,1/15/2021,20024,J1772,$0.30 per kWh,38.885703,-77.032041,private
187,ELEC,395 - Patriots Plaza,395 E Street Southwest,DC,Washington,1/22/2021,20024,J1772,FREE,38.8835524,-77.0171795,public
188,ELEC,4801 Connecticut Apartments,4801 Connecticut Avenue Northwest,DC,Washington,11/25/2020,20008,J1772,"$0.00-$4.00/Hr Variable Parking Fee, $0.25/kWh Energy Fee",38.9342066,-77.0577025,public
189,ELEC,Heyday Properties,1501 M St NW,DC,Washington,3/15/2021,20005,J1772,Free,38.906076,-77.034846,public
191,ELEC,Days Inn Connecticut Ave,4400 Connecticut Ave NW,DC,Washington,12/12/2011,20008,J1772,FREE,38.94693,-77.065639,public
194,ELEC,Conrad Washington DC,950 New York Avenue Northwest,DC,Washington,1/21/2021,20001,J1772,$0.25/kWh Energy Fee,38.901306,-77.0255817,public
195,ELEC,SP Plus - 1101 Vermont Ave,1101 Vermont Ave NW,DC,Washington,4/15/2021,20005,J1772,Free,38.903956,-77.032354,public
196,ELEC,1701 Rhode Island Inc.,1701 Rhode Island Avenue Northwest,DC,Washington,1/14/2019,20036,J1772,FREE,38.9067117,-77.0387573,public
200,ELEC,The Savoy Apartments,2101 L Street,DC,Washington,6/9/2021,20037,J1772,Free,38.90394,-77.04772,public
201,ELEC,500 E Street SW,500 E Street Southwest,DC,Washington,8/14/2017,20024,J1772,"$1.50/Hr Parking Fee , $0.25/kWh Energy Fee",38.8829566,-77.0190848,public
202,ELEC,Washington Square - Central Parking,1050 Connecticut Ave NW,DC,Washington,7/22/2021,20036,J1772,Free,38.903332,-77.04045,public
203,ELEC,1331,1331 Maryland Avenue Southwest,DC,Washington,6/19/2019,20024,J1772,FREE,38.8840965,-77.0310022,public
204,ELEC,District Wharf Parking Garage - Public Access on P1,1000 Maine,DC,Washington,8/24/2017,20024,J1772,FREE,38.8807429,-77.0266704,public
205,ELEC,2000 M St,2000 M Street,DC,Washington,12/1/2011,20036,J1772,$1.50/Hr Parking Fee,38.905461,-77.045209,public
206,ELEC,Washington Office Center,409 3rd Street Southwest,DC,Washington,1/22/2021,20024,J1772,$1.00/Hr Parking Fee,38.884762,-77.0155718,public
207,ELEC,"1015 15th Street, Inc.",1015 15th Street NW,DC,Washington,11/11/2015,20005,J1772,FREE,38.9033169,-77.0339576,public
208,ELEC,1400 K St NW,1400 K Street Northwest,DC,Washington,9/17/2014,20005,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9021614,-77.0322943,public
209,ELEC,1400 Eye Street,1400 I Street NW,DC,Washington,1/2/2012,20005,J1772,$1.50/Hr Parking Fee,38.901006,-77.032358,public
210,ELEC,Sentinel Square III,45 L Street Northeast,DC,Washington,6/22/2020,20002,J1772,FREE,38.9036883,-77.0074877,public
211,ELEC,531708  Lexington/Market Sq Parking Garage,401 9th St NW & 875 D St NW,DC,Washington,9/10/2018,20004,J1772,$1.00-$5.00/Hr Variable Parking Fee,38.895425,-77.023752,public
212,ELEC,600 Mass Ave,600 Massachusetts Avenue Northwest,DC,Washington,9/27/2016,20001,J1772,FREE,38.9012307,-77.0207401,public
213,ELEC,531711  JBAB / MWR,Chappie James Boulevard,DC,Washington,10/25/2018,20032,J1772,$0.00-$1.50/Hr Variable Parking Fee,38.8401346,-77.0171786,public
214,ELEC,Akridge,"601 Thirteenth Street NW, Suite 300",DC,Washington,3/29/2013,20005,J1772,FREE,38.897813,-77.029352,public
215,ELEC,Rockview Apartments,1400 Rock Creek Ford Road Northwest,DC,Washington,11/24/2020,20011,J1772,"$0.00-$4.00/Hr Variable Parking Fee, $0.25/kWh Energy Fee",38.9632417,-77.0334229,public
216,ELEC,District Wharf Parking Garage,800 Maine Avenue Southwest,DC,Washington,8/24/2017,20024,J1772,FREE,38.8781511,-77.0223675,public
217,ELEC,Target Ivy City,1515 New York Avenue Northeast,DC,Washington,5/29/2019,20002,J1772,FREE,38.916308,-76.982415,public
218,ELEC,1200 K,1200 K St. NW Suite 100,DC,Washington,10/15/2020,20005,J1772,FREE,38.9021125,-77.0286047,public
226,ELEC,AZ/JH REIT (DC) LP c/o Transwestern,"1100 New York Avenue, NW Suite Ground Floor",DC,Washington,8/26/2021,20005,J1772,FREE,38.9002423,-77.0274863,public
227,ELEC,Beckerts Park Apartments,1350 E Street Southeast,DC,Washington,8/27/2019,20003,J1772,FREE,38.8831947,-76.9864307,public
228,ELEC,Hall of the States Office Building,400/444 North Capitol Street NW,DC,Washington,11/11/2021,20001,J1772,$1.00/Hr Parking Fee,38.8957704,-77.0094944,public
229,ELEC,Resources and Conservation Center,1400 16th Street Northwest,DC,Washington,10/15/2021,20036,J1772,$1.00/Hr Parking Fee,38.9090483,-77.0371063,public
230,ELEC,1801 Pennsylvania Avenue Northwest,1801 Pennsylvania Avenue Northwest,DC,Washington,5/8/2019,20006,J1772,FREE,38.9004219,-77.0418833,public
234,ELEC,600 New Hampshire Ave,600 New Hampshire Avenue Northwest,DC,Washington,11/20/2019,20037,J1772,$1.50/Hr Parking Fee,38.8978425,-77.0551966,public
238,ELEC,Capitol Crossing,200 Massachusetts Ave NW,DC,Washington,1/31/2022,20001,J1772,Free,38.898971,-77.014127,public
239,ELEC,Metropolitan Square Garage,655 15th Street NW,DC,Washington,11/3/2021,20005,J1772,$1.00-$5.00/Hr Variable Parking Fee,38.898011,-77.0336201,public
240,ELEC,Union Place,200 K Street NE,DC,Washington,9/7/2017,20002,J1772,FREE,38.9031507,-77.0032763,public
241,ELEC,Garages,"7323 R 12th ST., NW",DC,Washington,1/12/2022,20012,J1772,FREE,38.9790239,-77.0276195,public
242,ELEC,655 New York Ave NW,655 New York Avenue Northwest,DC,Washington,3/2/2022,20001,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9054465,-77.0205502,public
244,ELEC,1275 New Jersey Ave,1275 New Jersey Avenue Southeast,DC,Washington,3/5/2021,20003,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.8752301,-77.0039287,public
245,ELEC,901 F,901 F St. NW,DC,Washington,3/3/2022,20004,J1772,$0.00-$0.50/kWh Variable Energy Fee,38.8976072,-77.0240107,public
246,ELEC,1771 N Street,1771 N Street NW,DC,Washington,3/11/2021,20036,J1772,FREE,38.9075534,-77.0413078,public
247,ELEC,Garage 2A,"Riley St  SW, Washington DC, 20024",DC,Washington,4/22/2021,20024,J1772,FREE,38.8779129,-77.0219095,public
248,ELEC,The Wharf Public Garage 3,600 Water Street Southwest,DC,Washington,2/12/2021,20024,J1772,FREE,38.8753566,-77.0210991,public
249,ELEC,1000 South Capitol,1000 S Capitol St SE,DC,Washington,11/12/2021,20003,J1772,FREE,38.8783202,-77.0087047,public
250,ELEC,Tribeca,40N St. NE,DC,Washington,4/13/2021,20002,J1772,FREE,38.890927,-76.980764,public
253,ELEC,The Apollo,600 H St NE,DC,Washington,6/29/2022,20002,J1772,Free,38.900253,-76.998243,public
255,ELEC,670 Maine Private Parking Nest,"670 Maine Ave SW, Washington DC 20024",DC,Washington,4/22/2021,20024,J1772,FREE,38.8777768,-77.0225306,public
256,ELEC,Capitol Riverfront,861 New Jersey Ave SE,DC,Washington,7/12/2022,20003,J1772,Free,38.880326,-77.00574017,public
257,ELEC,600 Water Private Parking Nest,600 Water Street Southwest,DC,Washington,4/22/2021,20024,J1772,FREE,38.8753566,-77.0210991,public
258,ELEC,531710  650 Massachusetts Ave NW,650 Massachusetts Ave NW,DC,Washington,9/11/2018,20001,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.899413,-77.024307,public
259,ELEC,600 Thirteenth,600 13th Street N.W.,DC,Washington,8/27/2020,20005,J1772,$0.25/kWh Energy Fee,38.8976502,-77.0299233,public
260,ELEC,Garage 2B,"Parker Row SW, Washington, DC 20024",DC,Washington,4/23/2021,20024,J1772,FREE,38.8773729,-77.0213205,public
261,ELEC,2 M Street,"2 M Street, NE",DC,Washington,2/23/2012,20002,J1772,FREE,38.905762,-77.0086436,public
262,ELEC,Franklin D. Reeves Building,2000 14th St NW,DC,Washington,8/12/2022,20009,J1772,$1 per hr 7am-10pm; $0.50 per hr 10pm-7am,38.917564,-77.032504,public
263,ELEC,700 Penn,700 Pennsylvania Avenue Southeast,DC,Washington,12/5/2016,20003,J1772,FREE,38.8850381,-76.9957982,public
264,ELEC,1220 19th St,1220 19th Street Northwest,DC,Washington,6/6/2017,20036,J1772,$1.50/Hr Parking Fee,38.906607,-77.0439431,public
268,ELEC,Sheikh Zayed Campus (SZ),111 Michigan Avenue,DC,Washington,1/25/2021,20010,J1772,FREE,38.9271737,-77.014524,public
284,ELEC,NYA90,901 New York Ave. NW,DC,Washington,8/16/2022,20001,J1772,"$1.00-$5.00/Hr Variable Parking Fee, $0.03/kWh Energy Fee",38.9019902,-77.0252236,public
286,ELEC,Knollwood Life Plan Community,"6200 Oregon Avenue, NW",DC,Washington,9/26/2022,20015,J1772,"$4.00/Hr Parking Fee , $0.25-$0.50/kWh Variable Energy Fee",38.9709327,-77.0552771,public
287,ELEC,Hilton Garden Inn,2201 M St NW,DC,Washington,11/22/2022,20037,J1772,Free,38.9056279,-77.04896502,public
288,ELEC,1055 High Condominium,1055 Wisconsin Avenue Northwest,DC,Washington,6/17/2022,20007,J1772,FREE,38.9041479,-77.0627761,public
289,ELEC,1875 Pennsylvania Ave NW,1875 Pennsylvania Avenue Northwest,DC,Washington,11/9/2020,20006,J1772,FREE,38.9005059,-77.0425038,public
290,ELEC,Canal Park,1015 2nd Pl SE,DC,Washington,10/17/2022,20003,J1772,Free,38.8779161,-77.0027427,public
292,ELEC,1201-1225 New York Avenue SPE,"1201 New York Avenue, NW",DC,Washington,11/28/2022,20005,J1772,Free,38.901252,-77.028574,public
293,ELEC,The Hay-Adams - Tesla Destination,800 16th St NW,DC,Washington,6/2/2015,20006,TESLA,Free,38.9005107,-77.0369492,public
367,ELEC,1200 First St NE,1200 First St NE,DC,Washington,2/1/2018,20002,J1772 NEMA515,Free with parking,38.90608235,-77.00629931,public
395,ELEC,Upton Place Parking Garage - Tesla Destination,4000 Wisconsin Ave NW,DC,Washington,3/21/2024,20016,J1772 TESLA,$0.33 per kWh,38.94168438,-77.07678809,public
407,ELEC,One Franklin Square Parking Garage,1010 13th St NW,DC,Washington,7/11/2024,19119,J1772,Free,38.90294784,-77.03004941,public
421,ELEC,Sursum Corda - Parking Lot,1112 First Ter NW,DC,Washington,8/27/2022,20036,J1772,$1 session fee; $0.35 per kWh; $3 per hour idle fee,38.90429,-77.012001,public
2,ELEC,Municipal Garage,200 N Holliday St,MD,Baltimore,8/15/2011,21202,J1772 NEMA520,Free,39.291785,-76.610539,public
3,ELEC,Bel Air Nissan,1506 Bel Air Rd,MD,Bel Air,3/15/2011,21014,CHADEMO J1772 J1772COMBO,Free,39.5059,-76.38238,public
4,ELEC,Community College of Baltimore County (CCBC),800 S Rolling Rd,MD,Catonsville,9/9/2019,21228,J1772,Free,39.256947,-76.730918,public
5,ELEC,Younger Nissan,7418 Grove Rd,MD,Frederick,6/26/2018,21704,CHADEMO J1772 J1772COMBO,Free,39.39116,-77.40777,public
6,ELEC,Criswell Nissan,19574 Amaranth Dr,MD,Germantown,3/15/2011,20874,J1772,Free,39.177414,-77.249773,public
7,ELEC,Passport Nissan - Marlow Heights,5000 Auth Way,MD,Suitland,3/15/2011,20746,CHADEMO J1772 J1772COMBO,Free,38.827,-76.92355,public
8,ELEC,Darcars Nissan,15911 Indianola Dr,MD,Rockville,3/15/2011,20855,CHADEMO J1772,Free,39.11377,-77.16099,public
9,ELEC,Herb Gordon Nissan,3131 Automobile Blvd,MD,Silver Spring,3/15/2011,20904,CHADEMO J1772,Free,39.077447,-76.947933,public
10,ELEC,Annapolis Friends Meeting,351 Dubois Ave,MD,Annapolis,8/10/2011,21401,J1772 NEMA520,Free,39.001676,-76.525253,public
20,ELEC,Antwerpen Nissan,1701 Woodlawn Dr,MD,Baltimore,1/31/2012,21207,J1772,Free,39.312935,-76.734569,public
21,ELEC,Antwerpen Nissan,1701 Woodlawn Dr,MD,Baltimore,1/31/2012,21207,J1772,Free,39.312935,-76.734569,private
22,ELEC,Bob Bell Nissan,7900 Eastern Ave,MD,Baltimore,1/31/2012,21224,J1772,Free,39.296284,-76.509019,public
23,ELEC,Bob Bell Nissan,7900 Eastern Ave,MD,Baltimore,1/31/2012,21224,J1772,Free,39.296284,-76.509019,private
24,ELEC,Nissan of Bowie,2200 Crain Hwy,MD,Bowie,1/31/2012,20716,CHADEMO J1772,Free,38.919138,-76.718428,public
25,ELEC,Nissan of Bowie,2200 Crain Hwy,MD,Bowie,1/31/2012,20716,J1772,Free,38.919138,-76.718428,private
26,ELEC,Antwerpen Nissan,12451 Auto Dr,MD,Clarksville,1/31/2012,21029,CHADEMO J1772,Free,39.21308,-76.94426,public
27,ELEC,Antwerpen Nissan,12451 Auto Dr,MD,Clarksville,1/31/2012,21029,J1772,Free,39.21308,-76.94426,private
28,ELEC,Darcars Nissan - College Park,9330 Baltimore Ave,MD,College Park,1/31/2012,20740,J1772,Free,39.008053,-76.929772,public
29,ELEC,Darcars Nissan - College Park,9330 Baltimore Ave,MD,College Park,1/31/2012,20740,J1772,Free,39.008053,-76.929772,private
30,ELEC,Nissan Ellicott City,8569 Baltimore National Pike,MD,Ellicott City,1/31/2012,21043,CHADEMO J1772 J1772COMBO,Free,39.28255,-76.80843,public
32,ELEC,Sheehy Nissan,7232 Ritchie Hwy,MD,Glen Burnie,1/31/2012,21061,CHADEMO J1772,Free,39.1731,-76.61949,public
34,ELEC,Hamilton Nissan,1929 Dual Hwy,MD,Hagerstown,1/31/2012,21740,CHADEMO J1772 J1772COMBO,Free,39.605636,-77.687979,public
35,ELEC,Hamilton Nissan,1929 Dual Hwy,MD,Hagerstown,1/31/2012,21740,J1772,Free,39.605636,-77.687979,private
36,ELEC,Ourisman Nissan,3510 Ft Meade Rd,MD,Laurel,1/31/2012,20724,J1772,Free,39.10165651,-76.82296929,public
37,ELEC,Ourisman Nissan,3510 Ft Meade Rd,MD,Laurel,1/31/2012,20724,J1772,Free,39.10165651,-76.82296929,private
38,ELEC,Antwerpen Nissan,11405 Reisterstown Rd,MD,Owings Mills,6/26/2018,21117,J1772,Free,39.43853,-76.80284,public
39,ELEC,Antwerpen Nissan,11405 Reisterstown Rd,MD,Owings Mills,1/31/2012,21117,J1772,Free,39.43853,-76.80284,private
40,ELEC,Pohanka Nissan - Salisbury,2012 N Salisbury Blvd,MD,Salisbury,1/31/2012,21801,J1772,Free,38.39214,-75.57586,private
